id,organisateur,cash_prize,pays
1,Katlin Gierardi,9778,China
2,Abbe Paur,2513,Poland
3,Tina Totaro,3148,Mongolia
4,Corrie Pickervance,29769,Sweden
5,Daryl Jemison,8270,Brazil
6,Karel Windibank,9888,Pakistan
7,Cyrillus Petrushanko,5355,France
8,Morten Beetles,28631,Slovenia
9,Clea Tarbox,20287,Brazil
10,Ileana Ruane,11304,Argentina
11,Amaleta Sexten,21675,Tunisia
12,Burch Harfleet,8693,China
13,Alexina Viccary,7923,Indonesia
14,Camella Childes,18359,Argentina
15,Skyler Lody,28234,Lebanon
16,Benoite Spain,1768,Philippines
17,Marge Hayles,11980,China
18,Emmy Mcasparan,19326,Philippines
19,Umeko MacGregor,7915,Sweden
20,Alleyn Ziem,15068,China
21,Weston Bruyntjes,20348,Japan
22,Asa Seebright,19638,Germany
23,Noellyn Bratchell,28555,Russia
24,Betty Fleisch,18733,Serbia
25,Linoel Mullinder,13641,Russia
26,Selia Helleckas,6020,Vietnam
27,Percy Montacute,21102,Philippines
28,Veda Batchley,14055,Spain
29,Jolynn Whitley,22763,Portugal
30,Beau Etock,2450,China
31,Joelie Kluge,23566,China
32,Edith Vertigan,6580,Brazil
33,Marin Alliston,7324,Greece
34,Astrid Punyer,21094,Ecuador
35,Niles Wilshin,7822,Nigeria
36,Orelee McGrah,13076,Philippines
37,Maddalena Bifield,19676,Kyrgyzstan
38,Salli Mountlow,14520,Indonesia
39,Malynda Caseri,6663,China
40,Bentley Hanby,18523,Indonesia
41,Amy Penhalewick,20951,Poland
42,Muire Kerss,29864,Portugal
43,Gwenora Keane,6423,Indonesia
44,Melonie Ebden,14469,Jamaica
45,Cross Brook,11700,Russia
46,Cesaro Fawloe,3619,Malaysia
47,Cly Bettinson,5833,Kuwait
48,Dunn Breit,3528,Serbia
49,Kriste Andrault,3276,Philippines
50,Murray Emanuelov,12561,Indonesia
51,Warren Callam,11777,Afghanistan
52,Zebadiah MacCartan,29363,Sweden
53,Catlaina Bleibaum,10235,Jordan
54,Giles Domoney,10498,Greece
55,Ferris Watling,17475,Brazil
56,Korney Tures,15685,Sweden
57,Israel Tarplee,2730,China
58,Albina Rugiero,4578,Myanmar
59,Olive Dixcey,22651,Indonesia
60,Vivian Towriss,2767,China
61,Georas Boots,16664,China
62,Lusa Waldron,27314,Russia
63,Benjamin Eldershaw,13590,Indonesia
64,Eada Harwin,5550,Lebanon
65,Raychel Frangleton,29263,Portugal
66,Dianne Wallwood,2375,Luxembourg
67,Mamie Cano,1411,Portugal
68,Suki Corrie,3590,United States
69,Bonnibelle Bestwall,886,Brazil
70,Sibylle Bewshaw,8115,Tanzania
71,Ase Renals,28464,Portugal
72,Gal Pilipyak,25940,Armenia
73,Bethena Ivanyushin,19588,China
74,Mallory Levermore,13013,China
75,Verne Fullagar,2025,China
76,Bethany Massei,18304,Indonesia
77,Sosanna Lamas,25766,Philippines
78,Banky Stanislaw,20893,Mexico
79,Hana Athey,15209,Trinidad and Tobago
80,Roanne Basham,16165,Germany
81,Aprilette Bisatt,15400,Poland
82,Estevan Rendle,28153,Russia
83,Brew Baudassi,23477,Sweden
84,Rourke Ring,20264,Indonesia
85,Eula Howles,21133,Indonesia
86,Robinia Blandamore,29061,Russia
87,Rafe Mazzey,7895,Indonesia
88,Keven Clewer,24045,Philippines
89,Thea Ranscombe,29240,Canada
90,Alis Showell,29713,France
91,Kort Ferrulli,18942,China
92,Perla MacCague,358,Canada
93,Giles Mawford,1585,Azerbaijan
94,Dev Maliffe,5819,Indonesia
95,Rochelle Bartolomeo,1978,Thailand
96,Noell Silkston,18054,China
97,Pearce Perham,759,Indonesia
98,Lynett Scamp,3561,Japan
99,Nat Ludy,22795,Portugal
100,Giulietta Perkis,1033,Venezuela
101,Domenico Sunley,4936,North Korea
102,Trevor Diss,8445,Japan
103,Kiri McAlester,11551,North Korea
104,Katerina Riddiford,15880,Japan
105,Sigrid Gorman,11068,Norway
106,Lisa Persian,21272,Philippines
107,Sophi Grenshiels,14046,Nepal
108,Ezri Haggleton,21326,Portugal
109,Cammy Cockitt,4087,Mexico
110,Marni Laxtonne,7699,Russia
111,Shandee Sulman,18574,Japan
112,Tobe Craven,9425,Argentina
113,Merrielle Dundridge,11118,China
114,Serge Stenner,22324,Kazakhstan
115,Ninette Ledgister,27138,Portugal
116,Northrup Cullivan,24023,China
117,Fidel Spatoni,18103,Philippines
118,Earle Tschirschky,7383,Mexico
119,Sallie Gauson,29760,Sweden
120,Cory Danes,27252,China
121,Barret Brickner,5479,Indonesia
122,Westleigh Bendon,26353,Russia
123,Jan Olyfant,13861,Ethiopia
124,Karoly Doring,6287,Russia
125,Juliette Alderton,2740,Kosovo
126,Rosella Carbry,29378,China
127,Melissa Viant,20879,France
128,Melodee Lutwidge,2071,Brazil
129,Nadean Worboy,2945,China
130,Jodie Vanyatin,19240,Poland
131,Belita Pennock,28985,Indonesia
132,Doralynn Ballister,5507,Serbia
133,Sharl Zotto,17455,New Zealand
134,Christopher Yearron,19537,Brazil
135,Honey Caulcott,19398,Albania
136,Crystal Sutheran,21096,Yemen
137,Cal Hindge,24609,China
138,Conway Brickdale,2051,France
139,Randie Weitzel,17825,Poland
140,Marlin Simoneau,20503,Thailand
141,Lucretia Burkett,12590,Iran
142,Orelle Tremmil,13893,Indonesia
143,Curt Luckin,7784,Sweden
144,Elfreda Noyes,10095,Poland
145,Germain Wilber,22891,Belarus
146,Corry Holdin,8705,China
147,Ailbert Hawkett,20745,Poland
148,Ringo Wear,722,France
149,Cece Schafer,25131,China
150,Yolane Bergeon,27501,Indonesia
151,Judy Keeri,12657,Russia
152,Fidelio O'Hartnett,7794,Sweden
153,Masha Preble,16044,Mexico
154,Berty Kann,10258,Czech Republic
155,Mable Lowdham,744,Portugal
156,Codi Milch,18789,Russia
157,Adler Saunt,5474,China
158,Bess Thatcher,27577,Nigeria
159,Belvia Dohms,29407,Russia
160,Christal Gormally,27756,United States
161,Mattheus Hanhard,29578,Indonesia
162,Nils Phethean,600,Thailand
163,Kingsly Hengoed,1853,Brazil
164,Donna Leonarde,6235,Indonesia
165,Siward Lacroutz,17852,Indonesia
166,Nickolas Rodder,1456,China
167,Letitia Madrell,11886,China
168,Calley Loughney,20959,Thailand
169,Wilburt Corzon,1580,China
170,Gustavus Eakins,13419,China
171,Farlie Soal,10317,China
172,Bartel Guillerman,26649,Greece
173,Mitzi Setch,26122,Ukraine
174,Kathryn Voller,23840,Sri Lanka
175,Freeman Bentinck,21623,Indonesia
176,Barrie Fairbrace,4770,Poland
177,Orbadiah Bowton,15266,Philippines
178,Rona Balasini,6172,Indonesia
179,Terza Eke,20732,Costa Rica
180,Aaren Branston,4524,United States
181,Angelika Donati,29282,Ivory Coast
182,Cori Bortolussi,22611,Canada
183,Elke Vakhonin,18723,United States
184,Gregoire Esmond,14460,China
185,Franky Keal,20932,China
186,Minnie Walkowski,29239,Russia
187,Brandon Januszewski,25269,Pakistan
188,Tonie Trythall,23179,China
189,Lombard Story,15504,China
190,Quinta Davenell,16547,Russia
191,Lin Casoni,19184,Ukraine
192,Phebe Wilkennson,3272,Greece
193,Cornell Troyes,11501,Brazil
194,Sissy Murley,19785,Papua New Guinea
195,Trixy Snalum,19021,Colombia
196,Thaxter Rings,13525,Argentina
197,Willey Danilchenko,8238,Mauritius
198,Anastasie Brister,19784,Greece
199,Fredra Rainsdon,17433,Thailand
200,Harriott McBryde,26190,Colombia
201,Jessica Grosier,11130,China
202,Aksel Roblou,27353,Myanmar
203,Giorgio Whitear,6407,Brazil
204,Brock Haslehurst,10175,Russia
205,Tawsha Morde,14280,France
206,Gill Pache,1790,Palestinian Territory
207,Howard Highton,16986,Venezuela
208,Gunar Bromige,1953,Russia
209,Chester Blaxter,14653,Russia
210,Earle Inskipp,12049,China
211,Vivia Marsh,4871,China
212,Guglielma Easterfield,3183,Syria
213,Dougy Maxsted,11941,Brazil
214,Christel Fray,8390,Nigeria
215,Johnna Jachimak,3993,Ireland
216,Marc Westall,20742,Poland
217,Doy Cadigan,18713,Indonesia
218,Carlee Threadgold,115,Croatia
219,Dyana Phinnessy,23041,France
220,Gordie Sherburn,12607,Russia
221,Freeland Penhaligon,18476,France
222,Alvira Bygreaves,22303,China
223,Laurie Jedrzejczak,18026,Brazil
224,Selig Alf,9504,Japan
225,Edita Peakman,26750,Nigeria
226,Rem Straker,21669,China
227,Ibbie Pember,24677,China
228,Kenon Bruhnicke,590,China
229,Edwin Filby,2425,Philippines
230,Ailene Gourlay,9398,South Korea
231,Doti Roseborough,1539,China
232,Flem Kenset,2045,China
